camNum	frameNum	sysClock	buffer
1	120	3966	1
0	121	3979	1
1	121	4000	1
0	122	4013	1
1	122	4033	1
0	123	4046	1
1	123	4066	1
0	124	4080	1
1	124	4100	1
0	125	4116	1
1	125	4133	1
0	126	4146	1
1	126	4166	1
0	127	4180	1
1	127	4200	1
0	128	4213	1
1	128	4233	1
0	129	4246	1
1	129	4267	1
0	130	4280	1
1	130	4300	1
0	131	4313	1
1	131	4333	1
0	132	4346	1
1	132	4367	1
0	133	4380	1
1	133	4400	1
0	134	4413	1
1	134	4433	1
0	135	4447	1
1	135	4467	1
0	136	4480	1
1	136	4500	1
0	137	4513	1
1	137	4533	1
0	138	4547	1
1	138	4567	1
0	139	4580	1
1	139	4600	1
0	140	4613	1
1	140	4633	1
0	141	4647	1
1	141	4667	1
0	142	4680	1
1	142	4700	1
0	143	4713	1
1	143	4733	1
0	144	4747	1
1	144	4767	1
0	145	4780	1
1	145	4800	1
0	146	4814	1
1	146	4834	1
0	147	4847	1
1	147	4867	1
0	148	4880	1
1	148	4901	1
0	149	4914	1
1	149	4933	1
0	150	4948	1
1	150	4967	1
0	151	4980	1
1	151	5000	1
0	152	5014	1
1	152	5034	1
0	153	5048	1
1	153	5067	1
0	154	5081	1
1	154	5100	1
0	155	5114	1
1	155	5134	1
0	156	5147	1
1	156	5167	1
0	157	5181	1
1	157	5200	1
0	158	5214	1
1	158	5234	1
0	159	5248	1
1	159	5267	1
0	160	5281	1
1	160	5301	1
0	161	5314	1
1	161	5334	1
0	162	5348	1
1	162	5367	1
0	163	5381	1
1	163	5401	1
0	164	5415	1
1	164	5434	1
0	165	5448	1
1	165	5467	1
0	166	5481	1
1	166	5501	1
0	167	5515	1
1	167	5535	1
0	168	5548	1
1	168	5567	1
0	169	5581	1
1	169	5601	1
0	170	5615	1
1	170	5635	1
0	171	5649	1
1	171	5668	1
0	172	5682	1
1	172	5701	1
0	173	5716	1
1	173	5734	1
0	174	5749	1
1	174	5768	1
0	175	5782	1
1	175	5801	1
0	176	5816	1
1	176	5834	1
0	177	5849	1
1	177	5868	1
0	178	5882	1
1	178	5901	1
0	179	5915	1
1	179	5934	1
0	180	5949	1
1	180	5968	1
0	181	5983	1
1	181	6001	1
0	182	6015	1
1	182	6034	1
0	183	6049	1
1	183	6068	1
0	184	6082	1
1	184	6101	1
0	185	6116	1
1	185	6134	1
0	186	6149	1
1	186	6168	1
0	187	6182	1
1	187	6201	1
0	188	6216	1
1	188	6234	1
0	189	6249	1
1	189	6268	1
0	190	6282	1
1	190	6302	1
0	191	6315	1
1	191	6335	1
0	192	6348	1
1	192	6368	1
0	193	6382	1
1	193	6402	1
0	194	6415	1
1	194	6435	1
0	195	6449	1
1	195	6468	1
0	196	6482	1
1	196	6501	1
0	197	6515	1
1	197	6535	1
0	198	6549	1
1	198	6568	1
0	199	6582	1
1	199	6601	1
0	200	6615	1
1	200	6635	1
0	201	6649	1
1	201	6668	1
0	202	6682	1
1	202	6701	1
0	203	6716	1
1	203	6735	1
0	204	6749	1
1	204	6768	1
0	205	6783	1
1	205	6801	1
0	206	6817	1
1	206	6835	1
0	207	6849	1
1	207	6869	1
0	208	6883	1
1	208	6902	1
0	209	6916	1
1	209	6935	1
0	210	6949	1
1	210	6968	1
0	211	6982	1
1	211	7002	1
0	212	7016	1
1	212	7035	1
0	213	7049	1
1	213	7068	1
0	214	7083	1
1	214	7102	1
0	215	7116	1
1	215	7135	1
0	216	7149	1
1	216	7168	1
0	217	7183	1
1	217	7202	1
0	218	7216	1
1	218	7235	1
0	219	7249	1
1	219	7269	1
0	220	7284	1
1	220	7301	1
0	221	7316	1
1	221	7335	1
0	222	7349	1
1	222	7368	1
0	223	7383	1
1	223	7401	1
0	224	7416	1
1	224	7435	1
0	225	7449	1
1	225	7469	1
0	226	7483	1
1	226	7501	1
0	227	7516	1
1	227	7535	1
0	228	7549	1
1	228	7569	1
0	229	7583	1
1	229	7602	1
0	230	7616	1
1	230	7635	1
0	231	7650	1
1	231	7669	1
0	232	7683	1
1	232	7702	1
0	233	7716	1
1	233	7735	1
0	234	7751	1
1	234	7768	1
0	235	7783	1
1	235	7802	1
0	236	7816	1
1	236	7835	1
0	237	7850	1
1	237	7868	1
0	238	7883	1
1	238	7902	1
0	239	7917	1
1	239	7936	1
0	240	7950	1
1	240	7968	1
0	241	7983	1
1	241	8002	1
0	242	8017	1
1	242	8035	1
0	243	8050	1
1	243	8069	1
0	244	8083	1
1	244	8102	1
0	245	8118	1
1	245	8135	1
0	246	8150	1
1	246	8169	1
0	247	8184	1
1	247	8202	1
0	248	8218	1
1	248	8236	1
0	249	8250	1
1	249	8270	1
0	250	8284	1
1	250	8303	1
0	251	8318	1
1	251	8336	1
0	252	8351	1
1	252	8369	1
0	253	8384	1
1	253	8404	1
0	254	8417	1
1	254	8436	1
0	255	8452	1
1	255	8469	1
0	256	8486	1
1	256	8503	1
0	257	8517	1
1	257	8536	1
0	258	8550	1
1	258	8569	1
0	259	8584	1
1	259	8602	1
0	260	8617	1
1	260	8635	1
0	261	8650	1
1	261	8669	1
0	262	8684	1
1	262	8702	1
0	263	8717	1
1	263	8735	1
0	264	8750	1
1	264	8769	1
0	265	8784	1
1	265	8802	1
0	266	8817	1
1	266	8835	1
0	267	8851	1
1	267	8869	1
0	268	8884	1
1	268	8903	1
0	269	8917	1
1	269	8936	1
0	270	8952	1
1	270	8970	1
0	271	8984	1
1	271	9003	1
0	272	9017	1
1	272	9035	1
0	273	9051	1
1	273	9069	1
0	274	9084	1
1	274	9102	1
0	275	9118	1
1	275	9136	1
0	276	9151	1
1	276	9169	1
0	277	9184	1
1	277	9202	1
0	278	9218	1
1	278	9236	1
0	279	9251	1
1	279	9269	1
0	280	9284	1
1	280	9302	1
0	281	9319	1
1	281	9335	1
0	282	9351	1
1	282	9370	1
0	283	9384	1
1	283	9403	1
0	284	9418	1
1	284	9436	1
0	285	9451	1
1	285	9469	1
0	286	9484	1
1	286	9503	1
0	287	9518	1
1	287	9536	1
0	288	9551	1
1	288	9569	1
0	289	9585	1
1	289	9603	1
0	290	9618	1
1	290	9636	1
0	291	9651	1
1	291	9669	1
0	292	9686	1
1	292	9702	1
0	293	9718	1
1	293	9736	1
0	294	9752	1
1	294	9769	1
0	295	9785	1
1	295	9803	1
0	296	9818	1
1	296	9836	1
0	297	9852	1
1	297	9869	1
0	298	9885	1
1	298	9903	1
0	299	9918	1
1	299	9936	1
0	300	9952	1
1	300	9970	1
0	301	9985	1
1	301	10003	1
0	302	10018	1
1	302	10036	1
0	303	10053	1
1	303	10069	1
0	304	10085	1
1	304	10103	1
0	305	10118	1
1	305	10136	1
0	306	10153	1
1	306	10169	1
0	307	10185	1
1	307	10203	1
0	308	10219	1
1	308	10236	1
0	309	10252	1
1	309	10269	1
0	310	10285	1
1	310	10303	1
0	311	10319	1
1	311	10336	1
0	312	10352	1
1	312	10369	1
0	313	10385	1
1	313	10403	1
0	314	10420	1
1	314	10436	1
0	315	10452	1
1	315	10470	1
0	316	10486	1
1	316	10503	1
0	317	10520	1
1	317	10536	1
0	318	10552	1
1	318	10570	1
0	319	10585	1
1	319	10603	1
0	320	10619	1
1	320	10636	1
0	321	10652	1
1	321	10670	1
0	322	10686	1
1	322	10703	1
0	323	10719	1
1	323	10736	1
0	324	10752	1
1	324	10770	1
0	325	10787	1
1	325	10803	1
0	326	10819	1
1	326	10836	1
0	327	10852	1
1	327	10870	1
0	328	10887	1
1	328	10903	1
0	329	10919	1
1	329	10936	1
0	330	10953	1
1	330	10970	1
0	331	10987	1
1	331	11003	1
0	332	11019	1
1	332	11036	1
0	333	11053	1
1	333	11070	1
0	334	11086	1
1	334	11103	1
0	335	11119	1
1	335	11137	1
0	336	11154	1
1	336	11170	1
0	337	11186	1
1	337	11204	1
0	338	11220	1
1	338	11237	1
0	339	11253	1
1	339	11270	1
0	340	11286	1
1	340	11303	1
0	341	11320	1
1	341	11337	1
0	342	11353	1
1	342	11370	1
0	343	11386	1
1	343	11404	1
0	344	11421	1
1	344	11437	1
0	345	11453	1
1	345	11470	1
0	346	11486	1
1	346	11504	1
0	347	11520	1
1	347	11537	1
0	348	11553	1
1	348	11570	1
0	349	11586	1
1	349	11605	1
0	350	11620	1
1	350	11637	1
0	351	11653	1
1	351	11670	1
0	352	11688	1
1	352	11703	1
0	353	11720	1
1	353	11737	1
0	354	11753	1
1	354	11770	1
0	355	11788	1
1	355	11804	1
0	356	11820	1
1	356	11837	1
0	357	11853	1
1	357	11871	1
0	358	11887	1
1	358	11904	1
0	359	11920	1
1	359	11937	1
0	360	11954	1
1	360	11971	1
0	361	11987	1
1	361	12004	1
0	362	12020	1
1	362	12037	1
0	363	12055	1
1	363	12070	1
0	364	12087	1
1	364	12104	1
0	365	12120	1
1	365	12137	1
0	366	12155	1
1	366	12170	1
0	367	12187	1
1	367	12204	1
0	368	12220	1
1	368	12237	1
0	369	12254	1
1	369	12270	1
0	370	12287	1
1	370	12304	1
